,AGE,SEX,PAY_6,PAY_4,PAY_5,PAY_2,PAY_3,PAY_0,BILL_AMT5,BILL_AMT4,BILL_AMT6,LIMIT_BAL,BILL_AMT3,BILL_AMT2,PAY_AMT6,PAY_AMT5,PAY_AMT4,PAY_AMT3,PAY_AMT2,PAY_AMT1,BILL_AMT1,MARRIAGE,EDUCATION,ks,ks_validation1,c
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.663508134527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371674726856,0.371674726856,0.000587801607227
11,0.0,0.0,0.0,0.0,0.0,0.0130367481301,0.00615093929116,0.703230894182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38789409713,0.38789409713,0.00070170382867
12,0.0,0.0,0.0,0.0,0.0,0.0306374952414,0.0685096092091,0.715376583748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38789409713,0.38789409713,0.000837677640068
13,0.0,0.0,0.0,0.0292217796358,0.0,0.0508999976982,0.105995451386,0.720799438063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391537435841,0.391537435841,0.001
14,0.0,0.0,0.0,0.0574965017511,0.0288310463067,0.061083978817,0.134884955926,0.72534254502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401536590659,0.401536590659,0.00119377664171
15,0.0,0.0,0.0,0.0819205858086,0.056730969207,0.0676999281459,0.148696483622,0.730961890786,0.0,0.0,0.0,0.06510194255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406492361009,0.406492361009,0.0014251026703
16,0.0,0.0,0.00152646241703,0.0967527780809,0.0879254072184,0.0635377104305,0.147004961696,0.73403554275,0.0,0.0,0.0,0.126664071286,0.0,0.0,0.0,0.0,0.0,0.0,0.0603387582241,0.0307732382766,0.0,0.0,0.0,0.410971129755,0.410971129755,0.00170125427985
17,0.0,0.0,0.029666088036,0.108976183047,0.100361524915,0.0507919534375,0.157389111841,0.734196102707,0.0,0.0,0.0,0.176636664424,0.0,0.0,0.0,0.0,0.0,0.0,0.102566010653,0.0857243742561,0.0,0.0,0.0,0.411921650068,0.411921650068,0.0020309176209
18,0.0,0.0,0.0550645510322,0.120970443524,0.114791724465,0.0600882619232,0.14175099097,0.729788470363,0.0,0.0,0.0,0.215924938095,0.0,0.0,0.0,0.0,0.0,0.048436362321,0.143404088693,0.0961263125956,0.0,0.0,0.0,0.412776661704,0.412776661704,0.00242446201708
19,0.0,0.0,0.0861701470473,0.105847400372,0.12258937699,0.0502801500397,0.16482136402,0.732377103162,0.0,0.0,0.0,0.248509923787,0.0,0.0,0.0,0.0,0.0,0.100228404401,0.149101960888,0.130337226458,0.0,0.0,0.0,0.411107426984,0.411107426984,0.00289426612472
20,0.0,0.0,0.0975991115934,0.121244680884,0.138965041569,0.0599849103557,0.151383197596,0.73060603689,0.0,0.0,0.0,0.278491373963,0.0,0.0,0.0,0.0,0.0,0.128494216466,0.190366674001,0.139034583515,0.0,0.0,0.0,0.411177084852,0.411177084852,0.00345510729459
21,0.0,0.0,0.10685853398,0.101224765935,0.160781457572,0.0563740450283,0.163091220155,0.731400114569,0.0,0.0,0.0,0.302745171747,0.0,0.0,0.0,0.0,0.0,0.168093695101,0.195523621055,0.156224162371,0.0,0.0,0.0,0.411535513284,0.411535513284,0.0041246263829
22,0.0,0.0,0.126299743571,0.0894546962093,0.175026789779,0.0347555433587,0.185947406333,0.737969732361,0.0,0.0,0.0,0.325126602977,0.0,0.0,0.0,0.0,0.0145976945163,0.19689507274,0.185942135338,0.185313189651,0.0,0.0,0.0,0.411673822852,0.411673822852,0.00492388263171
23,0.0,0.0,0.145964013516,0.127575302662,0.147084866147,0.0682891874649,0.150658354823,0.731331566406,0.0,0.0,0.0,0.336512725366,0.0,0.0,0.0115062878882,0.0,0.0464109500142,0.191994107476,0.22758885062,0.160786431107,0.0,0.0,0.0,0.410684990711,0.410684990711,0.00587801607227
24,0.0,0.0,0.157092488467,0.107089506626,0.157097918536,0.0506708581987,0.185446449331,0.729269511953,0.0,0.0,0.0,0.351142386017,0.0,0.0,0.0306105077156,0.0,0.0672054092149,0.218335273572,0.20036861843,0.189371337572,0.0,0.0,0.0,0.411108587948,0.411108587948,0.0070170382867
25,0.0,0.0,0.176102499316,0.141184427701,0.140478424398,0.0334989998137,0.178997966217,0.740118826357,0.0,0.0,0.0,0.360373565938,0.0,0.0,0.0358195724489,0.000638941880825,0.0933384233535,0.184664328718,0.210342248476,0.208824751096,0.0,0.0,0.0,0.409821697528,0.409821697528,0.00837677640068
26,0.0,0.0,0.176340852088,0.128749085184,0.157074290656,0.0531127972109,0.173385875543,0.736189166144,0.0,0.0,0.0,0.366494928896,0.0,0.0,0.0577384168881,0.00509934008046,0.0851280982628,0.2199831813,0.225395833456,0.192684675018,0.0,0.0,0.0,0.410424702476,0.410424702476,0.01
27,0.0,0.0,0.170274856785,0.0948699880172,0.189626300386,0.0458992878929,0.196747561766,0.732884475479,0.0,0.0,0.0,0.37040599939,0.0,0.0,0.0631646928667,0.0284821573015,0.0786857790773,0.242796525359,0.203235953142,0.209859023374,0.0,0.0,0.0,0.410066970623,0.410066970623,0.0119377664171
28,0.0,0.0,0.190089321706,0.139809902065,0.151188372976,0.0683729991495,0.161108263107,0.731779138663,0.0,0.0,0.0,0.377182276734,0.0,0.0,0.0779697802004,0.0226564210237,0.104906400966,0.22456781423,0.241113738673,0.186426523545,0.0,0.0,0.0,0.411037227332,0.411037227332,0.014251026703
29,0.0,0.0,0.208122613336,0.147669528202,0.135020482623,0.0525450194778,0.166853697043,0.741002038697,0.0,0.0,0.0,0.38078056127,0.0,0.0,0.0778701600257,0.0281703629117,0.123730015738,0.219236594367,0.235325642074,0.198017717135,0.0,0.0,0.0,0.410509607678,0.410509607678,0.0170125427985
